BASE_DE,GID_ID,GID_LO,GID_LA,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,ADSTRD_CD,ADSTRD_NM,WKDAY_NM,MVMN_TIME,SEXDSTN_FLAG_CD,AGRDE_CO,PDSTRN_POPLTN_CO,PDSTRN_ELSE_POPLTN_CO
20201105,"73,704,352",126.711441,37.52800369,28,인천광역시,2824,계양구,28245601,효성1동,목,8,F,3,10,3
20201121,"80,679,980",126.9579468,37.55823517,11,서울특별시,1141,서대문구,11410555,북아현동,토,17,M,4,23,5
20201121,"80,375,959",126.9473267,37.54015732,11,서울특별시,1144,마포구,11440585,도화동,토,1,F,4,11,3
20201121,"79,111,932",126.9029922,37.49216843,11,서울특별시,1156,영등포구,11560700,대림1동,토,10,F,7,17,5
20201121,"79,111,932",126.9029922,37.49216843,11,서울특별시,1156,영등포구,11560700,대림1동,토,14,M,7,24,6
20201121,"79,111,932",126.9029922,37.49216843,11,서울특별시,1156,영등포구,11560700,대림1동,토,10,F,1,17,6
20201121,"80,375,959",126.9473267,37.54015732,11,서울특별시,1144,마포구,11440585,도화동,토,14,M,3,8,7
20201121,"80,375,959",126.9473267,37.54015732,11,서울특별시,1144,마포구,11440585,도화동,토,21,F,3,8,7
20201121,"80,679,980",126.9579468,37.55823517,11,서울특별시,1141,서대문구,11410555,북아현동,토,5,F,6,11,7
20201121,"141,438,877",129.0593567,35.15810776,26,부산광역시,2623,부산진구,26230510,부전1동,토,8,M,6,3,5
20201121,"80,375,959",126.9473267,37.54015732,11,서울특별시,1144,마포구,11440585,도화동,토,16,M,6,9,6
20201121,"132,129,059",128.7510681,35.88296127,27,대구광역시,2714,동구,27140745,안심3.4동,토,6,F,1,7,3
20201119,"84,983,909",127.1097641,37.64806747,41,경기도,4136,남양주시,41360570,별내동,목,10,M,4,6,6
20201119,"75,112,255",126.7612762,37.5242691,41,경기도,4119,부천시,41190830,오정동,목,15,M,2,8,3
20201119,"138,419,532",128.9933319,37.17193604,42,강원도,4219,태백시,42190515,황지동,목,8,M,4,3,5
